Graph Index,Direction,epsilon,Case,Algorithm,lambda_0,lambda_1,lambda_2,lambda_3,Queue 0 Param,Queue 1 Param,Queue 2 Param,Queue 3 Param,Avg Lq_0,Avg Lq_1,Avg Lq_2,Avg Lq_3,Avg sum(Lq),Avg Cost-Weighted sum(Lq)
0,,0.005,good,maxweight,0.995,0.995,0.995,0.995,1,1,1,1,16.524740876044834,16.567830012106477,16.483778748617674,16.52586952393881,66.10221916070779,99.13988452109388
0,,0.005,good,weighted_maxweight,0.995,0.995,0.995,0.995,1.0,1.3333333333333333,1.6666666666666665,2.0,1750.3947654912138,1312.7150393686265,1050.730998531766,877.3780886526816,4991.218892044289,7006.655992841022
0,,0.005,good,cmu,0.995,0.995,0.995,0.995,,,,,6949.656025488289,13.59607942903264,10.555420021996678,7.634927940880385,6981.442452880198,7000.646353978755
0,,0.005,good,cmu_thresh,0.995,0.995,0.995,0.995,600,600,600,,7168.551112898091,33.96141931984806,44.02256125567381,618.6727404593233,7865.2078339329355,8524.549421669324
0,,0.005,good,random,0.995,0.995,0.995,0.995,0,0,0,0,68.99756567041378,47.45995681716345,17.18617561043676,8150.023896705812,8283.667594803826,16460.968927522317
0,,0.005,good,random_idle,0.995,0.995,0.995,0.995,0,0,0,0,58.017619303154625,55.20200023785807,24.092818498282547,8796.11050804599,8933.422946085284,17763.995999876082
1,,0.005,bad,maxweight,0.995,0.995,0.995,0.995,1,1,1,1,16.524740876044834,16.567830012106477,16.483778748617674,16.52586952393881,66.10221916070779,99.1667729610295
1,,0.005,bad,weighted_maxweight,0.995,0.995,0.995,0.995,2.0,1.6666666666666665,1.3333333333333333,1.0,875.5273603872115,1050.2615197697187,1312.9892080424893,1752.4408038448394,4991.218892044259,7004.583668292112
1,,0.005,bad,cmu,0.995,0.995,0.995,0.995,,,,,1.0231791939973496,2.2684038323976035,12.706926950319552,8151.320178335562,8167.318688312276,8174.089779044645
1,,0.005,bad,cmu_thresh,0.995,0.995,0.995,0.995,600,600,600,,48.23715094235515,52.76198048986706,53.72928569060027,6545.326558708571,6700.054975831393,6801.376542330527
1,,0.005,bad,random,0.995,0.995,0.995,0.995,0,0,0,0,70.2683354596639,47.44973317902685,30.287009778384114,6581.153098717443,6729.158177134517,6841.155337972994
1,,0.005,bad,random_idle,0.995,0.995,0.995,0.995,0,0,0,0,68.25446831533992,51.9030763406965,67.88420032860233,8804.79332285652,8992.835067841159,9118.319653826497
